date,daily_reviews,daily_avg_rating
2023-12-08,1,5.0
2024-03-27,2,4.0
2024-05-21,1,5.0
2024-06-09,1,1.0
2024-06-11,1,1.0
2024-06-20,1,4.0
2024-07-02,1,5.0
2024-07-04,1,1.0
2024-07-17,1,5.0
2024-07-18,1,1.0
2024-07-20,1,1.0
2024-08-05,1,1.0
2024-08-13,2,5.0
2024-08-14,1,5.0
2024-08-15,1,5.0
2024-08-31,1,5.0
2024-09-04,2,3.0
2024-09-05,1,5.0
2024-09-08,1,1.0
2024-09-12,1,5.0
2024-09-13,2,1.5
2024-09-14,1,1.0
2024-09-26,1,1.0
2024-10-04,4,4.0
2024-10-09,1,5.0
2024-10-21,2,3.0
2024-10-23,1,2.0
2024-10-24,1,5.0
2024-10-27,1,5.0
2024-10-28,1,5.0
2024-10-29,2,5.0
2024-10-30,3,4.0
2024-10-31,1,5.0
2024-11-01,2,3.0
2024-11-03,1,2.0
2024-11-04,1,5.0
2024-11-05,3,3.6667
2024-11-06,3,4.3333
2024-11-07,1,5.0
2024-11-09,1,5.0
2024-11-14,1,2.0
2024-11-15,1,1.0
2024-11-19,1,1.0
2024-11-20,1,5.0
2024-11-22,1,3.0
2024-12-10,1,1.0
2024-12-12,1,5.0
2024-12-15,1,1.0
2024-12-17,1,5.0
2024-12-20,1,5.0
2024-12-25,1,5.0
2024-12-27,1,5.0
2025-01-03,1,5.0
2025-01-08,1,1.0
2025-01-09,1,3.0
2025-01-12,2,1.0
2025-01-13,1,5.0
2025-01-14,1,5.0
2025-01-16,1,5.0
2025-01-17,1,4.0
2025-01-21,1,4.0
2025-01-24,2,4.5
2025-01-25,1,5.0
2025-01-26,1,5.0
2025-01-27,1,5.0
2025-01-28,1,4.0
2025-01-30,1,5.0
2025-02-02,2,5.0
2025-02-04,1,1.0
2025-02-05,2,1.0
2025-02-06,2,3.0
2025-02-07,4,3.25
2025-02-08,6,4.0
2025-02-09,3,5.0
2025-02-10,2,3.0
2025-02-11,4,5.0
2025-02-12,4,4.0
2025-02-13,2,5.0
2025-02-14,1,5.0
2025-02-15,2,5.0
2025-02-16,6,5.0
2025-02-17,1,5.0
2025-02-18,2,5.0
2025-02-19,2,5.0
2025-02-20,2,5.0
2025-02-22,1,4.0
2025-02-23,3,5.0
2025-02-24,2,4.5
2025-02-25,1,5.0
2025-02-26,1,5.0
2025-02-27,2,5.0
2025-02-28,3,3.3333
2025-03-01,2,4.5
2025-03-02,1,5.0
2025-03-03,1,2.0
2025-03-04,2,5.0
2025-03-05,1,5.0
2025-03-06,2,3.0
2025-03-07,4,3.25
2025-03-08,1,3.0
2025-03-09,5,5.0
2025-03-10,4,3.5
2025-03-11,3,4.0
2025-03-12,1,5.0
2025-03-13,3,5.0
2025-03-14,3,5.0
2025-03-15,3,3.6667
2025-03-16,4,4.75
2025-03-17,4,4.0
2025-03-18,6,4.1667
2025-03-19,1,4.0
2025-03-20,2,3.0
2025-03-21,4,5.0
2025-03-22,2,5.0
2025-03-23,4,4.0
2025-03-24,3,3.6667
2025-03-25,4,3.25
2025-03-26,2,1.5
2025-03-27,3,4.6667
2025-03-28,3,3.3333
2025-03-29,4,4.0
2025-03-30,5,4.4
2025-03-31,6,3.6667
2025-04-01,7,3.5714
2025-04-02,11,4.2727
2025-04-03,6,3.8333
2025-04-04,6,3.6667
2025-04-05,6,4.5
2025-04-06,7,3.0
2025-04-07,5,3.4
2025-04-08,7,4.1429
2025-04-09,9,4.1111
2025-04-10,7,3.4286
2025-04-11,3,3.3333
2025-04-12,4,2.0
2025-04-13,7,3.1429
2025-04-14,2,5.0
2025-04-15,3,5.0
2025-04-16,1,1.0
2025-04-17,7,4.4286
2025-04-18,6,3.6667
2025-04-20,3,4.3333
2025-04-21,5,4.2
2025-04-22,3,4.6667
2025-04-23,2,3.0
2025-04-24,6,3.1667
2025-04-25,4,4.0
2025-04-26,2,2.5
2025-04-27,3,3.0
2025-04-28,2,5.0
2025-04-29,2,3.0
2025-04-30,4,4.5
2025-05-01,1,5.0
2025-05-02,3,3.6667
2025-05-03,3,4.6667
2025-05-04,1,1.0
2025-05-05,8,3.0
2025-05-06,4,4.75
2025-05-07,2,1.0
2025-05-09,5,4.4
2025-05-10,2,5.0
2025-05-11,4,3.5
2025-05-12,4,2.25
2025-05-13,1,5.0
2025-05-14,5,4.0
2025-05-16,5,4.4
2025-05-17,7,3.8571
2025-05-18,5,1.8
2025-05-19,5,1.8
2025-05-20,3,3.6667
2025-05-21,1,5.0
2025-05-22,3,3.6667
2025-05-23,2,5.0
2025-05-24,2,3.0
2025-05-25,6,4.3333
2025-05-27,5,4.0
2025-05-28,3,4.0
2025-05-29,3,3.0
2025-05-30,4,3.5
2025-05-31,2,5.0
2025-06-01,4,4.75
2025-06-02,5,4.0
2025-06-03,2,1.0
2025-06-04,2,5.0
2025-06-05,5,2.6
2025-06-06,3,4.0
2025-06-07,2,2.5
2025-06-08,2,3.0
2025-06-09,1,5.0
2025-06-10,3,3.6667
2025-06-11,4,5.0
2025-06-12,4,2.25
2025-06-13,6,3.0
2025-06-15,3,4.3333
2025-06-16,2,5.0
2025-06-17,5,3.2
2025-06-18,5,3.6
2025-06-19,3,5.0
2025-06-20,2,5.0
2025-06-21,4,4.75
2025-06-22,2,5.0
2025-06-23,6,3.0
2025-06-24,4,5.0
2025-06-25,3,5.0
2025-06-26,4,3.25
2025-06-27,3,3.3333
2025-06-28,2,3.0
2025-06-29,1,1.0
2025-06-30,3,4.6667
2025-07-01,4,5.0
2025-07-02,2,5.0
2025-07-03,3,3.0
2025-07-04,5,4.4
2025-07-06,2,4.0
2025-07-08,3,4.6667
2025-07-09,4,3.0
2025-07-10,4,4.75
2025-07-11,2,5.0
2025-07-12,2,1.0
2025-07-13,2,5.0
2025-07-14,3,1.3333
2025-07-15,1,5.0
2025-07-16,3,3.6667
2025-07-17,4,4.0
2025-07-18,1,5.0
2025-07-19,2,5.0
2025-07-20,5,2.8
2025-07-21,7,4.4286
2025-07-22,5,3.8
2025-07-23,7,4.4286
2025-07-24,7,2.7143
2025-07-25,2,1.5
2025-07-26,6,4.3333
2025-07-27,5,3.6
2025-07-28,8,3.5
2025-07-29,10,4.5
2025-07-30,6,4.1667
2025-07-31,8,3.375
2025-08-01,7,3.2857
2025-08-02,5,3.8
2025-08-03,5,3.6
2025-08-04,5,2.8
2025-08-05,4,3.75
2025-08-06,4,3.0
2025-08-07,6,1.6667
2025-08-08,3,2.3333
2025-08-09,6,3.8333
2025-08-10,7,3.8571
2025-08-11,7,3.2857
2025-08-12,8,3.875
2025-08-13,4,2.5
2025-08-14,11,3.6364
2025-08-15,5,2.8
2025-08-16,4,4.5
2025-08-17,6,3.1667
2025-08-18,7,4.2857
2025-08-19,4,4.75
2025-08-20,5,3.4
2025-08-21,5,3.6
2025-08-22,8,3.125
2025-08-23,4,2.0
2025-08-24,2,5.0
2025-08-25,4,4.75
2025-08-26,1,4.0
2025-08-27,8,4.125
2025-08-28,3,4.0
2025-08-29,6,4.1667
2025-08-30,4,4.0
2025-08-31,3,5.0
2025-09-01,6,3.5
2025-09-02,4,4.0
2025-09-03,7,2.5714
2025-09-04,5,3.2
2025-09-05,3,4.6667
2025-09-06,5,3.8
2025-09-07,2,5.0
2025-09-08,12,5.0
2025-09-09,8,3.5
2025-09-10,6,2.3333
2025-09-11,5,3.4
2025-09-12,9,3.2222
2025-09-13,10,3.8
2025-09-14,4,4.0
2025-09-15,12,3.3333
2025-09-16,10,3.0
2025-09-17,7,4.4286
2025-09-18,10,2.6
2025-09-19,6,3.6667
2025-09-20,5,3.2
2025-09-21,5,3.4
2025-09-22,7,3.8571
2025-09-23,11,4.0909
2025-09-24,7,4.0
2025-09-25,13,3.3077
2025-09-26,7,3.0
2025-09-27,5,4.4
2025-09-28,6,4.3333
2025-09-29,3,2.3333
2025-09-30,14,3.0714
2025-10-01,5,2.6
2025-10-02,7,2.4286
2025-10-03,3,3.0
2025-10-04,5,3.0
2025-10-05,6,4.3333
2025-10-06,8,3.25
2025-10-07,9,3.1111
2025-10-08,11,3.2727
2025-10-09,9,2.4444
2025-10-10,11,3.5455
2025-10-11,2,4.5
2025-10-12,5,3.6
2025-10-13,9,3.1111
2025-10-14,8,3.0
2025-10-15,6,3.6667
2025-10-16,10,2.5
2025-10-17,5,2.6
2025-10-18,7,3.8571
2025-10-19,5,4.8
2025-10-20,7,2.8571
2025-10-21,2,3.5
2025-10-22,7,3.8571
2025-10-23,9,3.7778
2025-10-24,5,3.0
2025-10-25,5,3.0
2025-10-26,5,2.8
2025-10-27,7,3.2857
2025-10-28,5,2.6
2025-10-29,3,3.6667
2025-10-30,9,3.1111
2025-10-31,5,4.2
2025-11-01,8,2.0
2025-11-02,14,3.3571
2025-11-03,3,4.6667
2025-11-04,5,4.2
2025-11-05,20,4.1
2025-11-06,6,4.3333
2025-11-07,10,3.1
2025-11-08,7,3.7143
2025-11-09,16,3.125
2025-11-10,13,3.3077
2025-11-11,25,3.84
2025-11-12,13,3.9231
2025-11-13,17,4.0588
2025-11-14,15,3.5333
2025-11-15,10,3.5
2025-11-16,12,3.6667
2025-11-17,19,2.6842
2025-11-18,13,4.3077
2025-11-19,19,3.4211
2025-11-20,13,3.6923
2025-11-21,10,3.2
2025-11-22,10,4.1
2025-11-23,15,2.9333
2025-11-24,9,4.6667
2025-11-25,21,3.9048
2025-11-26,11,3.8182
2025-11-27,13,3.6923
2025-11-28,16,3.375
2025-11-29,13,4.3846
2025-11-30,21,4.0476
2025-12-01,15,2.8667
2025-12-02,20,3.95
2025-12-03,18,4.0556
2025-12-04,16,4.1875
2025-12-05,18,3.5
2025-12-06,10,3.4
2025-12-07,20,4.1
2025-12-08,13,4.3077
2025-12-09,11,4.0909
2025-12-10,15,3.9333
2025-12-11,21,3.4286
2025-12-12,27,3.7778
2025-12-13,18,3.8889
2025-12-14,23,3.4348
2025-12-15,16,3.4375
2025-12-16,18,3.9444
2025-12-17,25,3.4
2025-12-18,24,3.4583
2025-12-19,19,3.8421
2025-12-20,11,2.8182
2025-12-21,13,2.1538
2025-12-22,9,3.2222
2025-12-23,17,3.7059
2025-12-24,15,4.0667
2025-12-25,19,3.6316
2025-12-26,15,4.4
2025-12-27,22,2.7727
2025-12-28,20,2.95
2025-12-29,24,3.2083
2025-12-30,18,2.3333
2025-12-31,17,3.8235
2026-01-01,7,3.2857
2026-01-02,14,3.8571
2026-01-03,11,3.2727
2026-01-04,18,3.7222
2026-01-05,17,4.0588
2026-01-06,39,4.2308
2026-01-07,32,4.25
2026-01-08,31,4.129
2026-01-09,42,3.1667
2026-01-10,35,3.8857
2026-01-11,28,3.1786
2026-01-12,30,3.6667
2026-01-13,25,4.28
2026-01-14,28,3.7143
2026-01-15,41,4.1951
2026-01-16,30,2.9333
2026-01-17,18,3.8889
2026-01-18,37,3.8649
2026-01-19,61,4.0492
2026-01-20,55,3.7636
2026-01-21,84,3.9167
2026-01-22,67,4.1045
2026-01-23,80,3.9875
2026-01-24,70,3.8857
2026-01-25,72,4.0833
2026-01-26,81,3.7531
2026-01-27,64,3.9531
2026-01-28,91,3.7692
2026-01-29,98,3.8571
2026-01-30,83,4.0843
2026-01-31,125,4.28
2026-02-01,157,4.2866
2026-02-02,161,4.4596
2026-02-03,202,4.1436
2026-02-04,110,4.4091
